time_seconds,cycle,phase,pressure_torr,shroud_temp,node_id,measured_temp
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,1,-131.669
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,2,-128.343
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,3,-114.482
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,4,-99.561
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,5,-119.992
3165.0,3,HOT_RAMP,1.000000e-06,-95.00,6,-134.023
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,1,-129.083
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,2,-125.012
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,3,-110.754
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,4,-96.656
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,5,-116.303
3170.0,3,HOT_RAMP,1.000000e-06,-92.50,6,-131.150
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,1,-126.428
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,2,-121.544
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,3,-107.079
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,4,-93.767
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,5,-112.578
3175.0,3,HOT_RAMP,1.000000e-06,-90.00,6,-128.049
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,1,-123.568
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,2,-118.012
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,3,-103.512
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,4,-90.924
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,5,-108.854
3180.0,3,HOT_RAMP,1.000000e-06,-87.50,6,-124.869
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,1,-120.538
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,2,-114.453
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,3,-99.926
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,4,-88.135
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,5,-105.081
3185.0,3,HOT_RAMP,1.000000e-06,-85.00,6,-121.692
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,1,-117.589
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,2,-110.796
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,3,-96.363
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,4,-85.451
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,5,-101.428
3190.0,3,HOT_RAMP,1.000000e-06,-82.50,6,-118.230
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,1,-114.474
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,2,-107.095
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,3,-92.893
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,4,-82.606
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,5,-97.687
3195.0,3,HOT_RAMP,1.000000e-06,-80.00,6,-114.762
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,1,-111.399
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,2,-103.360
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,3,-89.439
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,4,-79.926
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,5,-94.018
3200.0,3,HOT_RAMP,1.000000e-06,-77.50,6,-111.266
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,1,-108.082
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,2,-99.589
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,3,-85.967
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,4,-77.173
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,5,-90.247
3205.0,3,HOT_RAMP,1.000000e-06,-75.00,6,-107.567
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,1,-104.706
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,2,-95.883
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,3,-82.595
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,4,-74.430
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,5,-86.686
3210.0,3,HOT_RAMP,1.000000e-06,-72.50,6,-103.853
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,1,-101.325
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,2,-92.078
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,3,-79.229
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,4,-71.600
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,5,-83.221
3215.0,3,HOT_RAMP,1.000000e-06,-70.00,6,-100.201
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,1,-97.793
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,2,-88.221
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,3,-76.059
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,4,-68.916
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,5,-79.754
3220.0,3,HOT_RAMP,1.000000e-06,-67.50,6,-96.401
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,1,-94.267
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,2,-84.387
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,3,-72.968
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,4,-66.239
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,5,-76.330
3225.0,3,HOT_RAMP,1.000000e-06,-65.00,6,-92.577
