day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
25.40,cooperative,0,12810.29,1299.03,255,254
25.50,cooperative,0,12877.36,1305.74,256,255
25.60,cooperative,0,12913.42,1309.34,257,256
25.70,cooperative,0,12954.18,1313.42,258,257
25.80,cooperative,0,12996.69,1317.67,259,258
25.90,cooperative,0,13061.65,1324.17,260,259
26.00,cooperative,0,13124.85,1330.48,261,260
26.10,cooperative,0,13187.99,1336.80,262,261
26.20,cooperative,0,13234.01,1341.40,263,262
26.30,cooperative,0,13272.91,1345.29,264,263
26.40,cooperative,0,13334.52,1351.45,265,264
26.50,cooperative,0,13391.76,1357.18,266,265
26.60,cooperative,0,13445.91,1362.59,267,266
26.70,cooperative,0,13512.68,1369.27,268,267
26.80,cooperative,0,13568.26,1374.83,269,268
26.90,cooperative,0,13602.12,1378.21,270,269
27.00,cooperative,0,13663.18,1384.32,271,270
27.10,cooperative,0,13706.83,1388.68,272,271
27.20,cooperative,0,13762.72,1394.27,273,272
27.30,cooperative,0,13827.87,1400.79,274,273
27.40,cooperative,0,13865.98,1404.60,275,274
27.50,cooperative,0,13903.46,1408.35,276,275
27.60,cooperative,0,13940.66,1412.07,277,276
27.70,cooperative,0,13992.85,1417.28,278,277
27.80,cooperative,0,14035.60,1421.56,279,278
27.90,cooperative,0,14089.52,1426.95,280,279
28.00,cooperative,0,14147.23,1432.72,281,280
28.10,cooperative,0,14187.67,1436.77,282,281
28.20,cooperative,0,14242.58,1442.26,283,282
28.30,cooperative,0,14285.05,1446.51,284,283
28.40,cooperative,0,14335.07,1451.51,285,284
28.50,cooperative,0,14399.09,1457.91,286,285
28.60,cooperative,0,14461.12,1464.11,287,286
28.70,cooperative,0,14497.82,1467.78,288,287
28.80,cooperative,0,14545.65,1472.56,289,288
28.90,cooperative,0,14588.55,1476.85,290,289
29.00,cooperative,0,14622.27,1480.23,291,290
29.10,cooperative,0,14681.78,1486.18,292,291
29.20,cooperative,0,14736.78,1491.68,293,292
29.30,cooperative,0,14779.18,1495.92,294,293
29.40,cooperative,0,14837.69,1501.77,295,294
29.50,cooperative,0,14889.83,1506.98,296,295
29.60,cooperative,0,14937.80,1511.78,297,296
29.70,cooperative,0,14971.72,1515.17,298,297
29.80,cooperative,0,15007.85,1518.78,299,298
29.90,cooperative,0,15071.12,1525.11,300,299
0.00,egoistic,0,83.97,26.40,1,0
0.10,egoistic,1,71.93,29.48,2,0
0.20,egoistic,2,81.64,32.51,3,0
0.30,egoistic,3,73.17,33.70,4,0
0.40,egoistic,4,58.58,33.03,5,0
0.50,egoistic,5,57.88,32.51,6,0
0.60,egoistic,6,63.96,32.76,7,0
0.70,egoistic,7,83.81,34.91,8,0
0.80,egoistic,8,80.35,36.00,9,0
0.90,egoistic,9,82.52,36.93,10,0
1.00,egoistic,0,85.45,37.74,11,1
1.10,egoistic,1,63.81,35.95,12,1
1.20,egoistic,2,63.54,34.89,13,1
1.30,egoistic,3,58.37,33.67,14,1
1.40,egoistic,4,80.71,35.12,15,1
1.50,egoistic,5,84.17,36.43,16,1
