Timestamp_s,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Power_Payload_W,In_Pass,Throttled,Safe_Mode
144600.0,1.6736111111111112,-22.73818856947338,-13.89476222485689,-24.12274707265047,5.0,0.0,1,0,1
145200.0,1.6805555555555556,-28.85564332270843,-20.642982624581037,-30.384978737590927,5.0,0.0,0,0,1
145800.0,1.6875,-29.549738602781844,-26.014312862974435,-32.86364383192867,5.0,0.0,0,0,1
146400.0,1.6944444444444444,2.567212148268993,-17.687929175191584,-5.125065719739894,5.0,0.0,0,0,1
147000.0,1.7013888888888888,21.844705108484277,-1.533467983938749,17.008085422780198,5.0,0.0,1,0,1
147600.0,1.7083333333333333,15.64260794082628,7.1741155737950635,14.58844756271202,5.0,0.0,0,0,1
148200.0,1.7152777777777777,3.0625715381768828,6.065227210725595,2.5081998196719724,5.0,0.0,0,0,1
148800.0,1.7222222222222223,-7.280885978791218,0.38864060944843004,-8.173617129846889,5.0,0.0,0,0,1
149400.0,1.7291666666666667,-15.674417536536623,-6.715016599645821,-16.857875687907608,5.0,0.0,0,0,1
150000.0,1.7361111111111112,-22.738188569473323,-13.894762224856777,-24.122747072650412,5.0,0.0,1,0,1
150600.0,1.7430555555555556,-28.855643322708374,-20.64298262458098,-30.38497873759087,5.0,0.0,0,0,1
151200.0,1.75,-29.549738602781787,-26.01431286297438,-32.86364383192864,5.0,0.0,1,0,1
151800.0,1.7569444444444444,2.56721214826905,-17.687929175191528,-5.125065719739837,5.0,0.0,0,0,1
152400.0,1.7638888888888888,21.844705108484277,-1.5334679839386922,17.008085422780255,5.0,0.0,1,0,1
153000.0,1.7708333333333333,15.64260794082628,7.1741155737950635,14.58844756271202,5.0,0.0,0,0,1
153600.0,1.7777777777777777,3.0625715381768828,6.065227210725595,2.5081998196719724,5.0,0.0,0,0,1
154200.0,1.7847222222222223,-7.280885978791218,0.38864060944843004,-8.173617129846889,5.0,0.0,0,0,1
154800.0,1.7916666666666667,-15.674417536536623,-6.715016599645821,-16.857875687907608,5.0,0.0,0,0,1
155400.0,1.7986111111111112,-22.738188569473323,-13.894762224856777,-24.122747072650412,5.0,0.0,1,0,1
156000.0,1.8055555555555556,-28.855643322708374,-20.64298262458098,-30.38497873759087,5.0,0.0,0,0,1
156600.0,1.8125,-29.549738602781844,-26.01431286297438,-32.86364383192864,5.0,0.0,0,0,1
157200.0,1.8194444444444444,2.567212148268993,-17.687929175191584,-5.125065719739894,5.0,0.0,0,0,1
157800.0,1.8263888888888888,21.844705108484163,-1.533467983938749,17.00808542278014,5.0,0.0,1,0,1
158400.0,1.8333333333333333,15.642607940826224,7.174115573795007,14.588447562711963,5.0,0.0,0,0,1
159000.0,1.8402777777777777,3.062571538176826,6.0652272107255385,2.5081998196719155,5.0,0.0,0,0,1
159600.0,1.8472222222222223,-7.280885978791275,0.3886406094483732,-8.173617129846946,5.0,0.0,0,0,1
160200.0,1.8541666666666667,-15.67441753653668,-6.715016599645935,-16.857875687907722,5.0,0.0,0,0,1
160800.0,1.8611111111111112,-22.73818856947338,-13.89476222485689,-24.12274707265047,5.0,0.0,1,0,1
161400.0,1.8680555555555556,-28.85564332270843,-20.642982624581037,-30.384978737590927,5.0,0.0,0,0,1
162000.0,1.875,-29.549738602781872,-26.014312862974435,-32.86364383192867,5.0,0.0,0,0,1
162600.0,1.8819444444444444,2.567212148268993,-17.687929175191584,-5.125065719739894,5.0,0.0,0,0,1
163200.0,1.8888888888888888,21.844705108484163,-1.533467983938749,17.008085422780084,5.0,0.0,1,0,1
163800.0,1.8958333333333333,15.642607940826167,7.174115573795007,14.588447562711849,5.0,0.0,0,0,1
164400.0,1.9027777777777777,3.0625715381767122,6.0652272107255385,2.5081998196718587,5.0,0.0,0,0,1
165000.0,1.9097222222222223,-7.280885978791389,0.38864060944831635,-8.17361712984706,5.0,0.0,0,0,1
165600.0,1.9166666666666667,-15.674417536536737,-6.715016599645992,-16.85787568790778,5.0,0.0,0,0,1
166200.0,1.9236111111111112,-22.738188569473408,-13.894762224856947,-24.122747072650526,5.0,0.0,1,0,1
166800.0,1.9305555555555556,-28.855643322708488,-20.642982624581066,-30.384978737590956,5.0,0.0,0,0,1
167400.0,1.9375,-29.5497386027819,-26.014312862974464,-32.8636438319287,5.0,0.0,0,0,1
168000.0,1.9444444444444444,2.5672121482689363,-17.68792917519164,-5.1250657197399505,5.0,0.0,0,0,1
168600.0,1.9513888888888888,21.844705108484163,-1.533467983938806,17.00808542278014,5.0,0.0,1,0,1
169200.0,1.9583333333333333,15.64260794082611,7.17411557379495,14.588447562711849,5.0,0.0,0,0,1
169800.0,1.9652777777777777,3.0625715381766554,6.065227210725482,2.508199819671802,5.0,0.0,0,0,1
170400.0,1.9722222222222223,-7.280885978791446,0.3886406094482595,-8.173617129847116,5.0,0.0,0,0,1
171000.0,1.9791666666666667,-15.674417536536794,-6.715016599646049,-16.857875687907836,5.0,0.0,0,0,1
171600.0,1.9861111111111112,-22.738188569473465,-13.894762224857004,-24.122747072650583,5.0,0.0,1,0,1
172200.0,1.9930555555555556,-28.855643322708545,-20.642982624581123,-30.384978737591013,5.0,0.0,0,0,1
172800.0,2.0,-29.54973860278193,-26.01431286297452,-32.863643831928755,5.0,0.0,1,0,1
173400.0,2.0069444444444446,2.567212148268993,-17.68792917519164,-5.125065719739894,5.0,0.0,0,0,1
174000.0,2.013888888888889,21.844705108484163,-1.533467983938749,17.00808542278014,5.0,0.0,1,0,1
174600.0,2.0208333333333335,15.642607940826224,7.174115573795007,14.588447562711963,5.0,0.0,0,0,1
175200.0,2.0277777777777777,3.062571538176826,6.0652272107255385,2.5081998196719155,5.0,0.0,0,0,1
175800.0,2.0347222222222223,-7.280885978791275,0.3886406094483732,-8.173617129846946,5.0,0.0,0,0,1
176400.0,2.0416666666666665,-15.67441753653668,-6.715016599645935,-16.857875687907722,5.0,0.0,0,0,1
177000.0,2.048611111111111,-22.73818856947338,-13.89476222485689,-24.12274707265047,5.0,0.0,1,0,1
177600.0,2.0555555555555554,-28.85564332270843,-20.642982624581037,-30.384978737590927,5.0,0.0,0,0,1
178200.0,2.0625,-29.549738602781872,-26.014312862974435,-32.86364383192867,5.0,0.0,0,0,1
178800.0,2.0694444444444446,2.567212148268993,-17.687929175191584,-5.125065719739894,5.0,0.0,0,0,1
179400.0,2.076388888888889,21.84470510848422,-1.533467983938749,17.008085422780198,5.0,0.0,1,0,1
180000.0,2.0833333333333335,15.64260794082628,7.1741155737950635,14.58844756271202,5.0,0.0,0,0,1
180600.0,2.0902777777777777,3.0625715381768828,6.065227210725595,2.5081998196719724,5.0,0.0,0,0,1
181200.0,2.0972222222222223,-7.280885978791218,0.38864060944843004,-8.173617129846889,5.0,0.0,0,0,1
181800.0,2.1041666666666665,-15.674417536536623,-6.715016599645821,-16.857875687907608,5.0,0.0,0,0,1
182400.0,2.111111111111111,-22.738188569473323,-13.894762224856777,-24.122747072650412,5.0,0.0,1,0,1
183000.0,2.1180555555555554,-28.855643322708374,-20.64298262458098,-30.38497873759087,5.0,0.0,0,0,1
183600.0,2.125,-29.549738602781844,-26.01431286297438,-32.86364383192864,5.0,0.0,0,0,1
184200.0,2.1319444444444446,2.56721214826905,-17.6879291751915,-5.125065719739837,5.0,0.0,0,0,1
184800.0,2.138888888888889,21.84470510848422,-1.5334679839386922,17.008085422780198,5.0,0.0,1,0,1
185400.0,2.1458333333333335,15.642607940826224,7.1741155737950635,14.588447562711963,5.0,0.0,0,0,1
186000.0,2.1527777777777777,3.062571538176826,6.065227210725595,2.5081998196719155,5.0,0.0,0,0,1
186600.0,2.1597222222222223,-7.280885978791275,0.38864060944843004,-8.173617129846946,5.0,0.0,0,0,1
187200.0,2.1666666666666665,-15.67441753653668,-6.715016599645878,-16.857875687907665,5.0,0.0,0,0,1
187800.0,2.173611111111111,-22.73818856947338,-13.89476222485689,-24.12274707265047,5.0,0.0,1,0,1
188400.0,2.1805555555555554,-28.85564332270843,-20.642982624581037,-30.384978737590927,5.0,0.0,0,0,1
189000.0,2.1875,-29.549738602781872,-26.014312862974435,-32.8636438319287,5.0,0.0,0,0,1
189600.0,2.1944444444444446,2.567212148268993,-17.687929175191613,-5.1250657197399505,5.0,0.0,0,0,1
190200.0,2.201388888888889,21.84470510848422,-1.5334679839386922,17.008085422780198,5.0,0.0,1,0,1
190800.0,2.2083333333333335,15.642607940826338,7.17411557379512,14.58844756271202,5.0,0.0,0,0,1
191400.0,2.2152777777777777,3.0625715381769396,6.065227210725652,2.508199819672029,5.0,0.0,0,0,1
192000.0,2.2222222222222223,-7.280885978791218,0.3886406094484869,-8.173617129846889,5.0,0.0,0,0,1
192600.0,2.2291666666666665,-15.674417536536623,-6.715016599645821,-16.857875687907608,5.0,0.0,0,0,1
193200.0,2.236111111111111,-22.738188569473323,-13.894762224856777,-24.122747072650412,5.0,0.0,1,0,1
193800.0,2.2430555555555554,-28.855643322708374,-20.64298262458098,-30.38497873759087,5.0,0.0,0,0,1
194400.0,2.25,-29.549738602781844,-26.01431286297438,-32.86364383192864,5.0,0.0,1,0,1
195000.0,2.2569444444444446,2.56721214826905,-17.687929175191528,-5.125065719739837,5.0,0.0,0,0,1
195600.0,2.263888888888889,21.844705108484447,-1.5334679839386354,17.00808542278031,5.0,0.0,1,0,1
196200.0,2.2708333333333335,15.642607940826394,7.174115573795177,14.588447562712133,5.0,0.0,0,0,1
196800.0,2.2777777777777777,3.0625715381769965,6.065227210725709,2.508199819672086,5.0,0.0,0,0,1
197400.0,2.2847222222222223,-7.2808859787911615,0.38864060944854373,-8.173617129846832,5.0,0.0,0,0,1
198000.0,2.2916666666666665,-15.674417536536623,-6.7150165996457645,-16.857875687907608,5.0,0.0,0,0,1
198600.0,2.298611111111111,-22.738188569473294,-13.894762224856777,-24.122747072650384,5.0,0.0,1,0,1
199200.0,2.3055555555555554,-28.855643322708346,-20.642982624580952,-30.384978737590842,5.0,0.0,0,0,1
199800.0,2.3125,-29.549738602781815,-26.01431286297435,-32.86364383192861,5.0,0.0,0,0,1
200400.0,2.3194444444444446,2.567212148269107,-17.6879291751915,-5.12506571973978,5.0,0.0,0,0,1
201000.0,2.326388888888889,21.84470510848439,-1.5334679839385785,17.00808542278037,5.0,0.0,1,0,1
201600.0,2.3333333333333335,15.642607940826451,7.174115573795234,14.58844756271219,5.0,0.0,0,0,1
202200.0,2.3402777777777777,3.0625715381770533,6.065227210725766,2.508199819672143,5.0,0.0,0,0,1
202800.0,2.3472222222222223,-7.280885978791105,0.38864060944860057,-8.173617129846775,5.0,0.0,0,0,1
203400.0,2.3541666666666665,-15.674417536536566,-6.715016599645708,-16.85787568790755,5.0,0.0,0,0,1
204000.0,2.361111111111111,-22.738188569473266,-13.89476222485672,-24.122747072650355,5.0,0.0,1,0,1
204600.0,2.3680555555555554,-28.855643322708318,-20.642982624580924,-30.384978737590814,5.0,0.0,0,0,1
205200.0,2.375,-29.54973860278176,-26.01431286297432,-32.863643831928556,5.0,0.0,0,0,1
205800.0,2.3819444444444446,2.567212148269107,-17.68792917519147,-5.12506571973978,5.0,0.0,0,0,1
