Time_min,T_CPU_Ctrl,T_CPU_Unctrl,Action,Louver_Eps
87.0,78.13993341080949,122.5300710448122,EMERGENCY SAFE-MODE,0.85
88.0,78.6042569296295,125.51032787661656,EMERGENCY SAFE-MODE,0.85
89.0,79.1739041574148,128.4955255937107,EMERGENCY SAFE-MODE,0.85
90.0,79.81840087596692,131.4640383767855,EMERGENCY SAFE-MODE,0.85
91.0,80.50998802848713,134.39539085860756,EMERGENCY SAFE-MODE,0.85
92.0,81.22350263539447,137.27034929882612,EMERGENCY SAFE-MODE,0.85
93.0,81.93614785918089,140.070970144544,EMERGENCY SAFE-MODE,0.85
94.0,82.62725104976786,142.78061323150223,EMERGENCY SAFE-MODE,0.85
95.0,83.27804191402393,145.38392676175778,EMERGENCY SAFE-MODE,0.85
96.0,83.87145727835566,147.86681070492114,EMERGENCY SAFE-MODE,0.85
97.0,84.39197024326116,150.21636454070114,EMERGENCY SAFE-MODE,0.85
98.0,84.82543952934408,152.42082441178312,EMERGENCY SAFE-MODE,0.85
99.0,85.15897515616763,154.46949388696675,EMERGENCY SAFE-MODE,0.85
100.0,85.38081755019188,156.352671716389,EMERGENCY SAFE-MODE,0.85
101.0,85.48022811848017,158.0615792378094,EMERGENCY SAFE-MODE,0.85
102.0,85.44739007059465,159.58828948660516,EMERGENCY SAFE-MODE,0.85
103.0,85.27331880942089,160.92565957626488,EMERGENCY SAFE-MODE,0.85
104.0,84.94978158194257,162.0672675431067,EMERGENCY SAFE-MODE,0.85
105.0,84.46922632988156,163.00735457428064,EMERGENCY SAFE-MODE,0.85
106.0,83.82471984640402,163.74077334439414,EMERGENCY SAFE-MODE,0.85
107.0,83.0098954563271,164.26294305530732,EMERGENCY SAFE-MODE,0.85
108.0,82.01891051060002,164.56981168863425,EMERGENCY SAFE-MODE,0.85
109.0,80.84641403002648,164.6578259256522,EMERGENCY SAFE-MODE,0.85
110.0,79.48752485054021,164.52390915069515,EMERGENCY SAFE-MODE,0.85
111.0,80.79361519415201,164.165447919245,CPU THROTTLING,0.15
112.0,78.9713415056739,163.5802872295884,EMERGENCY SAFE-MODE,0.85
113.0,79.93130064325538,162.77011897980572,CPU THROTTLING,0.15
114.0,80.52089331007778,161.75749499244282,CPU THROTTLING,0.15
115.0,81.02654292519033,160.58772354776895,CPU THROTTLING,0.15
116.0,81.38639592795116,159.30881174355093,CPU THROTTLING,0.15
117.0,81.58299523956246,157.96128915401718,CPU THROTTLING,0.15
118.0,81.63157053234424,156.5765672111085,CPU THROTTLING,0.15
119.0,81.55786320551788,155.17792042233881,CPU THROTTLING,0.15
120.0,81.38782834531443,153.78209984447216,CPU THROTTLING,0.15
121.0,81.14400089420482,152.40088056238804,CPU THROTTLING,0.15
122.0,80.8447328550081,151.04233919050625,CPU THROTTLING,0.15
123.0,80.50451100969566,149.71184271603843,CPU THROTTLING,0.15
124.0,80.13459113459662,148.4127902350619,CPU THROTTLING,0.15
125.0,79.74364798330511,147.14716071207943,CPU THROTTLING,0.15
126.0,79.33833917501426,145.91591456123464,CPU THROTTLING,0.15
127.0,78.92376192786114,144.71928724766596,CPU THROTTLING,0.15
128.0,78.50381124762349,143.55700384344843,CPU THROTTLING,0.15
129.0,78.08145659323698,142.42843588734374,CPU THROTTLING,0.15
130.0,77.65895423823713,141.33271610716307,CPU THROTTLING,0.15
131.0,77.23801005000674,140.26882229174555,CPU THROTTLING,0.15
132.0,76.81990442381209,139.23563850047677,CPU THROTTLING,0.15
133.0,76.40558842377654,138.231999566027,CPU THROTTLING,0.15
134.0,75.99575800385063,137.25672324052837,CPU THROTTLING,0.15
135.0,79.36041300221225,136.30863317846985,NOMINAL,0.15
136.0,77.33573330540474,135.38657511248144,CPU THROTTLING,0.15
137.0,79.913874508679,134.4894279692732,NOMINAL,0.15
138.0,81.26299767050448,133.61611122746845,NOMINAL,0.15
139.0,82.01032559776057,132.76558949108124,NOMINAL,0.15
140.0,82.45134204573563,131.93687500947823,NOMINAL,0.15
141.0,78.96062348989051,131.1290286937265,CPU THROTTLING,0.15
142.0,80.77422415261407,130.34116004374235,NOMINAL,0.15
143.0,81.70681198660336,129.57242629872394,NOMINAL,0.15
144.0,82.21574827902582,128.82203104634425,NOMINAL,0.15
145.0,82.51302446358802,128.0892224678111,NOMINAL,0.15
146.0,82.70043822043068,127.37329135153284,NOMINAL,0.15
147.0,82.82809186989358,126.67356897434063,NOMINAL,0.15
148.0,82.92135373836014,125.98942492345815,NOMINAL,0.15
149.0,79.22421693885082,125.32026491276198,CPU THROTTLING,0.15
150.0,80.90797572410631,124.66552863190238,NOMINAL,0.15
151.0,81.7542541884607,124.02468765545946,NOMINAL,0.15
152.0,82.20295036671502,123.39724343066511,NOMINAL,0.15
153.0,82.45642051255115,122.78272535568736,NOMINAL,0.15
154.0,82.6108973022077,122.18068895556785,NOMINAL,0.15
155.0,82.71311495491862,121.59071415924696,NOMINAL,0.15
156.0,82.78631049851838,121.01240367841719,NOMINAL,0.15
157.0,82.84239440502462,120.445381486989,NOMINAL,0.15
158.0,79.1217956198449,119.89269363550402,CPU THROTTLING,0.15
159.0,77.0469424402285,119.37816122608345,CPU THROTTLING,0.15
160.0,75.83992401273774,118.94876995988581,CPU THROTTLING,0.15
161.0,75.16290982710677,118.65435284780374,CPU THROTTLING,0.15
