Hour,Sat_0_Temp_C,Sat_1_Temp_C,Sat_2_Temp_C,Sat_3_Temp_C,Sat_4_Temp_C,Sat_5_Temp_C,Sat_6_Temp_C,Sat_7_Temp_C,Sat_8_Temp_C,Sat_9_Temp_C
81,116.23559464095325,59.24875286699478,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23559464095325,43.28967440346389,13.62106946598169,-8.427585481413985,-8.427585481413985
82,145.69551022290824,43.283157684283424,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23558105099033,43.283157684283424,13.62106946598169,-8.427585481413985,-8.427585481413985
83,116.23556729427798,43.27664056906076,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23556729427798,43.27664056906076,13.62106946598169,-8.427585481413985,-8.427585481413985
84,116.23555337081649,43.270123057785156,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23555337081649,43.270123057785156,13.62106946598169,-8.427585481413985,16.38916497667276
85,116.23553928060574,43.2636051504457,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23553928060574,43.2636051504457,13.62106946598169,12.379666650408353,-8.427585481413985
86,116.23552502364555,43.25708684703142,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23552502364555,43.25708684703142,31.671431182261585,-8.427585481413985,-8.427585481413985
87,116.23551059993588,43.250568147531396,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23551059993588,43.250568147531396,13.62106946598169,-8.427585481413985,-8.427585481413985
88,116.23549600947678,43.24404905193495,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23549600947678,43.24404905193495,13.62106946598169,-8.427585481413985,-8.427585481413985
89,116.23548125226819,43.23752956023094,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23548125226819,43.23752956023094,13.62106946598169,-8.427585481413985,-8.427585481413985
90,116.23546632830988,43.23100967240873,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23546632830988,72.47014125956429,13.62106946598169,-8.427585481413985,-8.427585481413985
91,116.23545123760209,43.22448938845724,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23545123760209,43.22448938845724,13.62106946598169,-8.427585481413985,-8.427585481413985
92,116.23543598014459,43.21796870836562,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23543598014459,43.21796870836562,13.62106946598169,-8.427585481413985,-8.427585481413985
93,116.23542055593742,43.21144763212317,-8.427585481413985,-8.427585481413985,-8.427585481413985,142.26825148328402,43.21144763212317,13.62106946598169,-8.427585481413985,-8.427585481413985
94,116.23540496498038,43.20492615971875,-8.427585481413985,-8.427585481413985,7.27703062404089,116.23540496498038,43.20492615971875,13.62106946598169,-8.427585481413985,-8.427585481413985
95,116.23538920727361,43.19840429114174,-8.427585481413985,22.068759597474696,-8.427585481413985,116.23538920727361,43.19840429114174,13.62106946598169,-8.427585481413985,-8.427585481413985
96,116.23537328281691,43.191882026381165,13.575558687984653,-8.427585481413985,-8.427585481413985,116.23537328281691,43.191882026381165,13.62106946598169,-8.427585481413985,-8.427585481413985
97,116.23535719161038,73.85364826591729,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23535719161038,43.18535936542611,13.62106946598169,-8.427585481413985,-8.427585481413985
98,131.2420607175531,43.178836308265716,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23534093365373,43.178836308265716,13.62106946598169,-8.427585481413985,-8.427585481413985
99,116.2353245089472,43.172312854889185,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2353245089472,43.172312854889185,13.62106946598169,-8.427585481413985,-8.427585481413985
100,116.2353079174905,43.1657890052856,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2353079174905,43.1657890052856,13.62106946598169,-8.427585481413985,27.342579435702874
101,116.23529115928363,43.15926475944417,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23529115928363,43.15926475944417,13.62106946598169,18.351679453181305,-8.427585481413985
102,116.23527423432665,43.15274011735403,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23527423432665,43.15274011735403,13.62106946598169,-8.427585481413985,-8.427585481413985
103,116.23525714261945,43.14621507900421,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23525714261945,43.14621507900421,13.62106946598169,-8.427585481413985,-8.427585481413985
104,116.2352398841619,43.139689644383964,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2352398841619,43.139689644383964,13.62106946598169,-8.427585481413985,-8.427585481413985
105,116.23522245895401,43.13316381348238,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23522245895401,43.13316381348238,60.992867462867196,-8.427585481413985,-8.427585481413985
106,116.2352048669955,43.12663758628872,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2352048669955,43.12663758628872,13.62106946598169,-8.427585481413985,-8.427585481413985
107,116.23518710828665,43.12011096279201,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23518710828665,43.12011096279201,13.62106946598169,-8.427585481413985,-8.427585481413985
108,116.23516918282735,43.113583942981506,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23516918282735,60.34278594645053,13.62106946598169,-8.427585481413985,-8.427585481413985
109,116.23515109061742,43.10705652684635,-8.427585481413985,-8.427585481413985,-8.427585481413985,134.9105588693552,43.10705652684635,13.62106946598169,-8.427585481413985,-8.427585481413985
110,116.23513283165676,43.100528714375685,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23513283165676,43.100528714375685,13.62106946598169,-8.427585481413985,-8.427585481413985
111,116.23511440594535,43.0940005055586,-8.427585481413985,-8.427585481413985,10.190146004452856,116.23511440594535,43.0940005055586,13.62106946598169,-8.427585481413985,-8.427585481413985
112,116.23509581348333,43.087471900384344,-8.427585481413985,34.18383499719209,-8.427585481413985,116.23509581348333,43.087471900384344,13.62106946598169,-8.427585481413985,-8.427585481413985
113,116.23507705427033,43.080942898842125,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23507705427033,43.080942898842125,13.62106946598169,-8.427585481413985,-8.427585481413985
114,116.2350581283066,43.074413500920855,32.80265159858493,-8.427585481413985,-8.427585481413985,116.2350581283066,43.074413500920855,13.62106946598169,-8.427585481413985,-8.427585481413985
