time,power_w,T_cpu_measured,T_cpu_real,T_cpu_estimated,T_rad_measured,T_rad_real,estimated_C,estimated_eps,residual
1730,25.0,6.855584213887683,6.696566109580544,7.145649726940519,-12.382519331861339,-12.93005536365473,272.1725984235681,0.9748291630313187,-0.290065513052836
1735,25.0,6.49052007565965,6.67283804441206,7.1197880440273025,-12.390714946939083,-12.954079151470467,272.0050176103597,0.98,-0.6292679683676523
1740,25.0,6.610086475782681,6.648957102522559,7.093716435682609,-12.51224918272713,-12.978138749399761,271.875108386414,0.98,-0.4836299598999281
1745,25.0,5.8844825356457,6.6249293139634915,7.0674386584018976,-12.239868574536814,-13.002233063822302,271.5547154185054,0.98,-1.182956122756198
1750,25.0,6.336022613295893,6.6007604711221575,7.040937105972034,-12.804331297103598,-13.026361006109425,271.3619609344282,0.98,-0.7049144926761413
1755,25.0,6.75511910049836,6.576456139534969,7.014226172684175,-13.301513583032136,-13.050521493893882,271.29050603032954,0.98,-0.25910707218581486
1760,25.0,6.587842143064965,6.5520216681533725,6.987320370141788,-12.4641569842642,-13.074713452221147,271.1795181802377,0.98,-0.39947822707682246
1765,25.0,6.391013257313977,6.527462199091531,6.960218974152781,-12.688864096896975,-13.098935814590448,271.0201751824571,0.98,-0.5692057168388036
1770,25.0,7.126274161410333,6.502782676884067,6.93292100039497,-13.968792703979497,-13.12318752389325,271.07472165792706,0.9691690163756315,0.19335316101536293
1775,25.0,5.967502046741102,6.477987857280368,6.905453598305996,-13.770528261753704,-13.147467533256531,270.80855539624264,0.98,-0.9379515515648942
1780,25.0,6.268811825011325,6.453082315600284,6.87779425273186,-12.974215592391174,-13.171774806797544,270.6343805560954,0.98,-0.6089824277205347
1785,25.0,6.716392784245338,6.428070454675094,6.84995729308298,-13.133363861267416,-13.196108320296617,270.5959135957955,0.98,-0.13356450883764204
1790,25.0,6.951104822378006,6.402956512395463,6.821960110765019,-13.442986611877274,-13.220467061793329,270.63332329844974,0.9727686203903545,0.12914471161298646
1795,25.0,6.213906382041992,6.377744568888033,6.7938151129321795,-12.470087166476173,-13.244850032112765,270.46449296692384,0.98,-0.5799087308901871
1800,0.0,6.228528198502562,5.742793520338296,6.311773321757585,-13.41947888427198,-13.26937898643257,270.0498678142245,0.98,-0.08324512325502287
1805,0.0,7.111197884802814,5.137267156386031,5.845239323726048,-13.078411260316795,-13.294611157109046,276.15163469841326,0.9093607176556936,1.2659585610767659
1810,0.0,6.120187251720133,4.559462589744669,5.404020240354953,-13.175216577595789,-13.321087022546976,279.3389895217817,0.8694624776198354,0.7161670113651804
1815,0.0,4.984079132681952,4.0077846349084325,4.981794787290994,-13.356887652254008,-13.34921887380159,279.3485929271314,0.8693354078031351,0.002284345390958009
1820,0.0,4.908834117884926,3.4807380512169175,4.572914069287833,-13.32324593089794,-13.37931333288418,280.7141120310853,0.8506768688449988,0.33592004859709323
1825,0.0,3.9725204085873855,2.9769204658879858,4.178742069275245,-13.339995737726134,-13.411590241989302,279.91104705302416,0.862115107594199,-0.2062216606878593
1830,0.0,3.953063419616072,2.495015902658224,3.795694082607099,-13.238346004040306,-13.446198491031282,280.5074611191646,0.8533985555411451,0.15736933700897282
1835,0.0,1.546830053364683,2.033788851312181,3.425219859817446,-12.402011138640919,-13.48322926310584,273.6460638192989,0.9573017702815676,-1.8783898064527629
1840,0.0,3.0684647052556127,1.5920788216463961,3.05717669270598,-14.003182226668606,-13.522727103272928,273.6879974046013,0.9566782042662064,0.011288012549632853
1845,0.0,1.5265182776797972,1.1687953325102853,2.700536218860691,-13.83461158362083,-13.564699153290121,269.467890598255,0.98,-1.1740179411808938
1850,0.0,1.515669495506782,0.7629132926675197,2.3493962358176077,-13.455982716700259,-13.609122841841156,266.474815294811,0.98,-0.8337267403108257
1855,0.0,1.43480293826429,0.37346873546965753,2.0051611141291232,-13.533913389269367,-13.655952274897231,264.44748577860423,0.98,-0.5703581758648333
1860,0.0,1.98192315749296,-0.0004451261349913693,1.668819079348907,-13.684761673414023,-13.705123532867901,265.541887829523,0.9627906213991047,0.31310407814405306
1865,0.0,0.9152123173732216,-0.35968155382721534,1.3438826704697249,-13.152360566388909,-13.756559049069665,264.10202388437807,0.98,-0.42867035309650325
1870,0.0,0.33446689378569244,-0.7050436735636936,1.0267973179491037,-14.328061505434906,-13.810171216865513,261.8230016232958,0.98,-0.6923304241634112
1875,0.0,-0.9181436419056408,-1.0372876238980666,0.7162953447827931,-13.658853484245997,-13.865865349844796,256.51459885441653,0.98,-1.634438986688434
1880,0.0,-0.723198457943678,-1.357125483686275,0.408638079161733,-13.701484144693056,-13.923542099976544,252.80104923460402,0.98,-1.131836537105411
1885,0.0,-0.8131670070490858,-1.6652279976663067,0.1056411744115735,-13.11668646544722,-13.983099422234034,249.79183359700843,0.98,-0.9188081814606593
1890,0.0,-1.4667560085618419,-1.9622271164735707,-0.19198917008560556,-13.501055838089854,-14.044434160293065,245.64586915552476,0.98,-1.2747668384762363
1895,0.0,-2.2672563112635404,-2.24871836596094,-0.4857299642135331,-13.745734125368136,-14.107443316160754,239.8372181971962,0.98,-1.7815263470500073
1900,0.0,-2.099867136507988,-2.5252630592125342,-0.777639342309044,-13.419589909504944,-14.172025056664893,235.45392232610604,0.98,-1.3222277941989442
1905,0.0,-2.175385995284492,-2.792390363340189,-1.0660461924228457,-14.258560968806828,-14.238079501346306,231.75677150587006,0.98,-1.1093398028616464
1910,0.0,-3.063419836127827,-3.050599232005368,-1.3502006632185157,-14.958104942643454,-14.305509329211247,226.04745500743724,0.98,-1.7132191729093114
1915,0.0,-3.2064214365019605,-3.300360213596605,-1.632642522669812,-14.801205503939402,-14.374220235817177,220.70832174757626,0.98,-1.5737789138321485
