module,system,n_seeds,mean,ci_lower,ci_upper,rel_width,cv,converged,stable,convergence_status,stability,mean_time_s,total_time_s,peak_ram_mb,peak_vram_mb
SINDy,logistic,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.25371831840001685,12.685915920000843,0.001,0.0
SINDy,ECG200,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2948629460000338,14.743147300001691,0.001,0.0
SINDy,ECG5000,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2926601930000161,14.633009650000805,0.001,0.0
Topology,lorenz,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.27705864060001295,13.852932030000648,0.001,0.0
Topology,duffing,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.264857641900011,13.24288209500055,0.001,0.0
Topology,van_der_pol,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2622706812000033,13.113534060000164,0.001,0.0
Topology,rossler,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2638810058000054,13.19405029000027,0.001,0.0
Topology,logistic,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2565667694999884,12.82833847499942,0.001,0.0
Topology,ECG200,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2985848811999967,14.929244059999837,0.001,0.0
Topology,ECG5000,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.29535445709997654,14.767722854998828,0.001,0.0
Koopman,lorenz,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.25938963390000574,12.969481695000287,0.001,0.0
Koopman,duffing,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.26633813529998224,13.316906764999112,0.001,0.0
Koopman,van_der_pol,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2623895663999901,13.119478319999505,0.001,0.0
Koopman,rossler,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.25914421789996955,12.957210894998479,0.001,0.0
Koopman,logistic,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2574717156999814,12.873585784999069,0.001,0.0
Koopman,ECG200,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.2960837051999879,14.804185259999395,0.001,0.0
Koopman,ECG5000,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.29692539559999565,14.846269779999783,0.001,0.0
NeuralODE,lorenz,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.007215455999903498,0.36077279999517486,0.006,0.0
NeuralODE,duffing,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.02409209400000691,1.2046047000003455,0.006,0.0
NeuralODE,van_der_pol,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.016352566000059597,0.8176283000029798,0.006,0.0
NeuralODE,rossler,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.006438999999918451,0.32194999999592255,0.006,0.0
NeuralODE,logistic,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0008279040001070825,0.04139520000535413,0.006,0.0
NeuralODE,ECG200,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0015360779999537043,0.07680389999768522,0.006,0.0
NeuralODE,ECG5000,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0014633059999687248,0.07316529999843624,0.006,0.0
PINN,lorenz,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.007737143999984255,0.38685719999921275,0.006,0.0
PINN,duffing,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.02460246000009647,1.2301230000048236,0.006,0.0
PINN,van_der_pol,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.01657156599994778,0.828578299997389,0.006,0.0
PINN,rossler,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.006634196000049997,0.33170980000249983,0.006,0.0
PINN,logistic,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0008785639996858663,0.043928199984293315,0.006,0.0
PINN,ECG200,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0015245959998719627,0.07622979999359814,0.006,0.0
PINN,ECG5000,50,,,,inf,,False,False,NOT_CONVERGED,UNSTABLE,0.0014935919998970348,0.07467959999485174,0.006,0.0
