artifact_path,artifact_type,size_bytes,last_modified
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_42.json,JSON Config,2714,2026-05-21 10:08:53
dashboard/public/artifacts/sessions/rossler_noise_1.7778_seed_9001.json,JSON Config,2717,2026-05-21 10:09:05
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_1337.json,JSON Config,2717,2026-05-21 10:09:18
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_42.json,JSON Config,2715,2026-05-21 10:09:12
dashboard/public/artifacts/sessions/rossler_noise_2.0000_seed_9001.json,JSON Config,2714,2026-05-21 10:09:24
dashboard/public/artifacts/sessions/smoke_test.json,JSON Config,2669,2026-05-20 22:24:15
dashboard/public/artifacts/sessions/test_graph.json,JSON Config,3014,2026-05-24 17:11:26
dashboard/public/artifacts/sessions/test_phase6_pipeline.json,JSON Config,2688,2026-05-24 19:01:10
dashboard/public/artifacts/sessions/VerificationExperiment.json,JSON Config,5931,2026-05-24 18:18:16
dashboard/public/artifacts/sessions/experiment_001/benchmark.json,JSON Config,383,2026-05-20 15:00:54
dashboard/public/artifacts/sessions/experiment_001/embeddings.json,JSON Config,522,2026-05-20 15:00:52
dashboard/public/artifacts/sessions/experiment_001/logs.json,JSON Config,1077,2026-05-20 15:00:57
dashboard/public/artifacts/sessions/experiment_001/metadata.json,JSON Config,542,2026-05-20 15:16:51
dashboard/public/artifacts/sessions/experiment_001/telemetry.json,JSON Config,826,2026-05-20 15:00:49
dashboard/public/artifacts/sessions/experiment_002/benchmark.json,JSON Config,383,2026-05-20 15:01:06
dashboard/public/artifacts/sessions/experiment_002/embeddings.json,JSON Config,522,2026-05-20 15:01:05
dashboard/public/artifacts/sessions/experiment_002/logs.json,JSON Config,1317,2026-05-20 15:01:09
dashboard/public/artifacts/sessions/experiment_002/metadata.json,JSON Config,594,2026-05-20 15:45:31
dashboard/public/artifacts/sessions/experiment_002/telemetry.json,JSON Config,829,2026-05-20 15:01:03
dashboard/public/artifacts/telemetry/lorenz_telemetry.json,JSON Config,19048,2026-05-20 14:46:23
dashboard/screenshots/discoveries-en-desktop.png,unknown,545640,2026-05-19 22:20:26
dashboard/screenshots/discoveries-es-mobile.png,unknown,194142,2026-05-19 22:20:21
dashboard/screenshots/learn-en-desktop.png,unknown,444560,2026-05-19 22:19:18
dashboard/screenshots/references-en-desktop.png,unknown,545387,2026-05-19 22:39:23
dashboard/screenshots/references-es-mobile.png,unknown,194171,2026-05-19 22:39:23
dashboard/src/app/favicon.ico,unknown,25931,2026-05-18 16:41:47
dashboard/src/app/globals.css,unknown,5333,2026-05-19 08:22:56
dashboard/src/app/layout.tsx,unknown,917,2026-05-18 19:17:27
dashboard/src/app/page.tsx,unknown,151,2026-05-18 16:46:15
dashboard/src/app/discoveries/page.tsx,unknown,130,2026-05-19 22:16:49
dashboard/src/app/learn/page.tsx,unknown,118,2026-05-19 13:47:40
dashboard/src/app/mathematics/page.tsx,unknown,130,2026-05-26 15:51:12
dashboard/src/app/physics/page.tsx,unknown,124,2026-05-26 15:51:07
dashboard/src/app/quantum/page.tsx,unknown,122,2026-05-26 15:51:13
dashboard/src/app/satellite/page.tsx,unknown,126,2026-05-26 15:51:10
dashboard/src/app/[lang]/layout.tsx,unknown,1637,2026-05-18 22:16:09
dashboard/src/app/[lang]/compare/ComparePageClient.tsx,unknown,15881,2026-05-20 16:09:24
dashboard/src/app/[lang]/compare/page.tsx,unknown,658,2026-05-20 15:15:40
dashboard/src/app/[lang]/dashboard/page.tsx,unknown,8743,2026-05-23 23:47:53
dashboard/src/app/[lang]/dashboard/benchmark/page.tsx,unknown,6051,2026-05-24 14:06:00
dashboard/src/app/[lang]/dashboard/log/page.tsx,unknown,3017,2026-05-18 22:16:16
dashboard/src/app/[lang]/dashboard/roadmap/page.tsx,unknown,5954,2026-05-18 22:16:16
dashboard/src/app/[lang]/dashboard/scientific-log/page.tsx,unknown,8129,2026-05-24 19:30:21
dashboard/src/app/[lang]/dashboard/timeline/page.tsx,unknown,2354,2026-05-19 08:20:13
dashboard/src/app/[lang]/dashboard/timeline/TimelineClient.tsx,unknown,14742,2026-05-24 15:59:30
