Time_s,Pressure_mbar,Heater_Power_W,T_Real_CPU,T_Real_Battery,T_Meas_CPU,T_Meas_Battery,T_Meas_Payload,T_Meas_Structure,T_Meas_Radiator,T_Meas_Panels,T_Pred_CPU,T_Pred_Battery,T_Pred_Payload,T_Pred_Structure,T_Pred_Radiator,T_Pred_Panels
3710.0,8.610439267769335e-06,0.0,0.41718401584256526,11.597274661577558,0.7755767513847331,11.57333044957852,5.424420511490609,-1.1506528488199592,-8.347875109753886,-3.5664199038128572,-19.211544095060475,-6.4385936661091705,-14.597459506394273,-20.350334027184715,-25.293479480060512,-21.355693486659447
3720.0,8.548004728798013e-06,0.0,0.33875548552953205,11.547415051334326,0.4199336987402944,11.501043651073928,5.279251479080926,-1.1692444781450035,-6.505672179864973,-1.7941339205387408,-19.33709569504819,-6.5690946710315075,-14.726805267369514,-20.472756790292067,-25.407045513486423,-21.479276767888223
3730.0,8.434236161755532e-06,0.0,0.2605175494622358,11.49746367297547,0.33801197515822423,11.570876756533266,5.760868489146503,-1.2889085433036485,-8.582622744147102,-2.432535362868009,-19.462311114421226,-6.699492448365447,-14.855787989817713,-20.594863164195544,-25.520327258721437,-21.60253102426961
3740.0,8.479964202217056e-06,0.0,0.1824682496120431,11.447421468027187,0.5911379334428375,11.663178506923316,5.719777788099236,-1.4795875137464236,-6.5057596598516625,-2.173614329963982,-19.58719242910925,-6.829784917149084,-14.98441007884054,-20.716654984499172,-25.633326365573197,-21.725457823389036
3750.0,8.3938554111997e-06,0.0,0.10460566999626053,11.397289370508702,0.5025003434316204,11.6118627220863,5.394327008820142,-1.6658858247043895,-7.687282155016362,-2.189008618884884,-19.71174169031508,-6.959970035832498,-15.112673910514104,-20.838134066668147,-25.746044465293807,-21.84805873229095
3760.0,8.41358463776282e-06,0.0,0.026927935457024432,11.34706830700992,0.2061287185154015,11.762188038266288,5.61832690283876,-1.6053536055885047,-7.110055938486255,-3.753502592793893,-19.835960924981606,-7.090045801673796,-15.240581832339899,-20.959302206364526,-25.858483170900712,-21.970335316995943
3770.0,8.453377342757501e-06,0.0,-0.050566789516778954,11.29675919676771,0.4279547444360219,11.328412437639201,5.155687587194109,-1.8472519904568685,-9.208379177018742,-3.574493787238964,-19.959852136245416,-7.220010250144412,-15.368136163690053,-21.08016117977482,-25.970644077489425,-22.09228914204047
3780.0,8.416326532898499e-06,0.0,-0.12788030192751876,11.246362951741446,-0.29260943991306476,11.32488181751711,5.426980064827092,-1.9715998181039254,-6.66671350399514,-2.3476598451591144,-20.083417303877724,-7.349861454343909,-15.495339196246448,-21.200712743929756,-26.082528762538402,-22.21392177003858
3790.0,8.519384591460904e-06,0.0,-0.2050143613676596,11.195880476687194,-0.22047027696385157,11.442312126524541,4.949562751209442,-1.6850752046130424,-8.081281898564555,-2.3738866047726788,-20.20665838471311,-7.4795975244240935,-15.622193194433748,-21.32095863701656,-26.194138786206594,-22.335234761264502
3800.0,8.40182513089842e-06,0.0,-0.2819706910809714,11.145312669231487,-0.345144264603789,11.34041496000998,4.899819935952792,-1.8434221843012324,-9.68725622266544,-2.1476143328054604,-20.329577313066295,-7.60921660702212,-15.7487003958463,-21.44090057868388,-26.30547569162343,-22.45622967325542
3810.0,8.27857279942157e-06,0.0,-0.3587509789878709,11.094660419943636,-0.13271858174829276,11.29557194452218,4.871790716684359,-1.892460333444376,-8.126547531485983,-3.6032449661806254,-20.452176001137815,-7.738716884702285,-15.87486301166905,-21.56054027033977,-26.41654100517195,-22.576908060433766
3820.0,8.17771733101395e-06,0.0,-0.43535687867620254,11.043924612407523,-0.7125750313755361,11.189767309098727,4.619956015805542,-2.062463317539766,-8.717184413334223,-2.4538377776633524,-20.574456339408613,-7.86809657540681,-16.000683227091827,-21.679879395442782,-26.527336236765223,-22.697271473747946
3830.0,8.147512781064963e-06,0.0,-0.5117900103584248,10.99310612329208,-0.4626354972374429,11.215518969957714,4.921815994838198,-2.090832612635154,-8.05109084628981,-4.737092053093988,-20.69642019702431,-7.997353931914972,-16.126163201717645,-21.79891961978646,-26.637862880115932,-22.8173214603311
3840.0,8.223191649063661e-06,0.0,-0.588051961797305,10.942205822420988,-0.35077458989701427,10.81503260071321,4.727992801307778,-2.2343228635524497,-8.721354098036386,-2.9361603487694765,-20.81806942216923,-8.126487241310656,-16.2513050699647,-21.917662591777486,-26.748122412999862,-22.93705956317706
3850.0,8.36632832724678e-06,0.0,-0.6641442892000669,10.891224572841793,-0.33326537936528666,10.705067526307516,4.823344424481775,-2.032939108363962,-8.26642510126419,-2.2475003788328536,-20.939405842430915,-8.255494824458367,-16.37611094146206,-22.036109942707554,-26.85811629751319,-23.05648732083273
3860.0,8.567555371816856e-06,0.0,-0.7400685180838309,10.84016323089321,-0.4210567329520245,10.96643383048189,4.830186987365835,-2.3418801350622402,-8.695585099814423,-3.758314745432415,-21.06043126515499,-8.384375035486926,-16.50058290143886,-22.154263287019376,-26.9678459803238,-23.175606267106502
3870.0,8.723896707700068e-06,0.0,-0.8158261441117247,10.789022646272656,-0.8654953761371758,11.172025870256846,4.643498609344874,-2.7227192181529176,-8.417972356214989,-5.5753050727650475,-21.18114747779134,-8.51312626128157,-16.62472301110762,-22.27212422256673,-27.077312892916922,-23.29441793079178
3880.0,8.786447509383171e-06,0.0,-0.8914186339022194,10.73780366210218,-0.6006069427323837,10.695981668903187,4.490709710345641,-2.1238959091977563,-9.357381606895103,-4.6025217084889505,-21.301556248231293,-8.641746920983508,-16.74853330804109,-22.389694330868934,-27.18651845183507,-23.412923835405223
